id,name,genre,artists,album,popularity,duration_ms,explicit,genre_id,artists_id,album_id,duration_s
7tUSJY4nsDBJTjd1UXKRsT,Part of Your World,disney,"Jodi Benson, Disney",The Little Mermaid Special Edition,0.6777777777777778,195493,0,27,1942,4179,0.20946162387740708
1GwoYuiXrCM7xmnOqsl0Fm,Latino,latino,Thell Barrio,Straight Outta Barrio,0.18888888888888888,163187,1,70,4006,3808,0.16855764933192036
3DNWc7bbOcPuT4EG1EPIfI,Turkish Night,turkish,Ottmar Liebert + Luna Negra,Opium,0.1,269000,0,123,2940,2947,0.3025319036060983
6yPJaDkXDkFU9YSzWl8wuD,Metal Militia (Remastered),metal-misc,Metallica,Kill 'Em All (Deluxe Remaster),0.2888888888888889,311466,0,74,2615,2240,0.35629987807055197
7oCKpKEauFQ5Hy7twt2v3A,Folk,folk,Tristand Gagnon,Sounds of Trance,0.0,121782,0,35,4123,3748,0.11613305123695715
1sG3M0yjIYweejCR9Amyh6,Groove Me,groove,King Floyd,King Floyd,0.5333333333333333,183266,0,44,2127,2249,0.19398050901429598
6B9PQ1aFKZcwSIJP7ljUuj,Bossanova,bossanova,Lil Tecca,Crunch Time,0.15555555555555556,123573,1,9,2295,911,0.11840071106519236
2XVQdI3m0giGxNrwUhV3yP,Funkytown,funk,Lipps Inc.,Mouth To Mouth,0.6,470346,0,38,2308,2714,0.5574644752285702
4nP79rVZV35tLI1liADJKX,Hello,metal-misc,"SAMURAI, Rage Into The Inferno, Heavy Metal Songs",Hello,0.26666666666666666,117006,0,74,3375,1862,0.11008595836166325
0xIDR5U9WwBb3hbqAyS3R9,Acoustic,acoustic,U Know & The Drill,Acoustic,0.022222222222222223,109354,0,0,4149,153,0.1003974418872602
2WdpF0JuU5MbWEOeNCZHt4,tango!,tango,Kiraw,tango!,0.3111111111111111,111219,1,119,2134,4851,0.10275879620309418
2P49qliYdgVILcC4fO2rdI,British,british,Rony,British,0.08888888888888889,178364,0,12,3339,617,0.1877738822817393
7GBQOLaOLRDQNdHcIWRnL5,Forró do Xenhenhem,forro,Alcione,Fogo da Vida,0.4444444444444445,185173,0,36,181,1466,0.19639504128255092
5mAFUMVcVdenRz3n54RL5k,Samba De Orfeu,samba,Maria Toledo,Braziliana,0.4222222222222222,130800,0,105,2526,601,0.1275511173067646
7iEHCU1oYlqg3PloCa9uXW,Latin Thugs,latin,"Cypress Hill, Tego Calderón",The Essential Cypress Hill,0.4777777777777778,227173,1,69,883,4113,0.24957299370347724
5HScXXMFFW6UAyFgZy5gHb,War In The Heavens (Freestyle),new-age,Gio SBG,War In The Heavens (Freestyle),0.48888888888888893,75718,0,79,1557,4556,0.05780949884844411
6zGmawMNQ2Qb8SQ45Ndohd,Metal,metal,Yuval Ron,Six Healing Sounds,0.13333333333333333,608865,0,73,4399,3633,0.732849160737958
67SpkczIBmimE7tIMYRjuL,Indie Pop,indie-pop,Us4love,Indie Pop,0.08888888888888889,245818,0,59,4168,2084,0.27318020615319555
2tQo1X1cnpSqlaY5jUDFSa,Punk Is Dead,punk,Crass,The Feeding of the Five Thousand (The Second Sitting),0.32222222222222224,107720,1,92,867,4121,0.09832856630974131
7r1d98KZ9hEl9F4w1MCef0,Chill,chill,AL SHAMI,Chill,0.5111111111111112,160000,0,16,89,743,0.16452245565655144
4mHhs5e1po4Q4EXnOUGXz8,minimal,minimal-techno,green beat,minimal,0.14444444444444446,70243,0,76,4496,4803,0.050877372907859056
5UOOrcCcs5vX8ZVYqAIxh0,Electricity,reggae,Iration,Sample This - EP,0.3666666666666667,241493,0,96,1802,3527,0.26770414319556446
